builderCandidates,builderProductCandidates,completion,confidence,finalMap,firstOccupancy,grading,infrastructure,knownLifecycleAdditions,limitations,mapRecordingDate,matchedAddressPointCount,modelHomes,neighborhoodCandidates,partialOccupancy,planning,recording,reviewStatus,roads,sales,sourceIds,substantialOccupancy,tentativeMap,tractId,tractNumber,utilities,verticalConstruction,villageCandidates
Barratt Homes,LH-PRODUCT-WYCLIFFE-SURREY-FARM,unknown,medium,MM 835/26-33,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-08-22,66,unknown,Surrey Farms 1,unknown,not_reconstructed,2002-08-22,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16249,16249,unknown,unknown,Wycliffe
Richmond American,LH-PRODUCT-WYCLIFFE-CHESAPEAKE,unknown,medium,MM 832/20-23,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-05-24,52,unknown,Chesapeake 1,unknown,not_reconstructed,2002-05-24,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16250,16250,unknown,unknown,Wycliffe
Shea Homes;Standard Pacific,LH-PRODUCT-AVENDALE-BERKSHIRE;LH-PRODUCT-AVENDALE-FRONT-STREET,unknown,medium,MM 836/40-43,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2002-09-27,23,unknown,Berkshire;Front Street,unknown,not_reconstructed,2002-09-27,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-16270,16270,unknown,unknown,Avendale
Centex Homes;D.R. Horton;MBK Homes,LH-PRODUCT-TERRAMOR-BRIAR-ROSE;LH-PRODUCT-TERRAMOR-SUTTER-S-MILL;LH-PRODUCT-TERRAMOR-TARLETON,product_level_upper_bound_only,medium,MM 839/34-45,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-02-27,123,unknown,Briar Rose 2;Sutter's Mill;Tarleton 2,unknown,not_reconstructed,2003-02-27,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16271,16271,unknown,unknown,Avendale;Terramor
D.R. Horton;MBK Homes;Standard Pacific,LH-PRODUCT-TERRAMOR-BRANCHES;LH-PRODUCT-TERRAMOR-BRIAR-ROSE;LH-PRODUCT-TERRAMOR-TARLETON;LH-PRODUCT-TERRAMOR-VALMONT,product_level_upper_bound_only,medium,MM 840/1-20,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-02-27,524,unknown,Branches;Briar Rose 1;Sutters Mill;Tarleton 1;Valmont,unknown,not_reconstructed,2003-02-27,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16341,16341,unknown,unknown,Avendale;Terramor
Shea Homes,LH-PRODUCT-TERRAMOR-SEDONA,product_level_upper_bound_only,medium,MM 847/36-39,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-07-25,37,unknown,Sedona 1,unknown,not_reconstructed,2003-07-25,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16342,16342,unknown,unknown,Terramor
Pardee Homes,LH-PRODUCT-TERRAMOR-EVERGREEN-LADERA,product_level_upper_bound_only,medium,MM 848/15-18,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-08-18,36,unknown,Evergreen 1,unknown,not_reconstructed,2003-08-18,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16346,16346,unknown,unknown,Terramor
William Lyon Homes,LH-PRODUCT-TERRAMOR-WALDEN-PARK,product_level_upper_bound_only,medium,MM 849/31-39,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-09-19,65,unknown,Walden Park 1,unknown,not_reconstructed,2003-09-19,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16347,16347,unknown,unknown,Terramor
Richmond American,LH-PRODUCT-TERRAMOR-ARBORAGE,product_level_upper_bound_only,medium,MM 848/23-28,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-08-18,54,unknown,Arborage 1,unknown,not_reconstructed,2003-08-18,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16348,16348,unknown,unknown,Terramor
K. Hovnanian,LH-PRODUCT-TERRAMOR-MOSAIC,product_level_upper_bound_only,medium,MM 847/5-10,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-07-08,41,unknown,Mosaic 1,unknown,not_reconstructed,2003-07-08,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16349,16349,unknown,unknown,Terramor
Pulte Homes,LH-PRODUCT-TERRAMOR-CLAIBORNE,product_level_upper_bound_only,medium,MM 847/1-4,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-07-08,42,unknown,Claiborne 1,unknown,not_reconstructed,2003-07-08,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16350,16350,unknown,unknown,Terramor
Pardee Homes,LH-PRODUCT-TERRAMOR-EVERGREEN-LADERA,product_level_upper_bound_only,medium,MM 850/28-32,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-10-31,41,unknown,Evergreen 2,unknown,not_reconstructed,2003-10-31,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16351,16351,unknown,unknown,Terramor
Richmond American,LH-PRODUCT-TERRAMOR-ARBORAGE,product_level_upper_bound_only,medium,MM 850/33-37,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-10-31,40,unknown,Arborage 2,unknown,not_reconstructed,2003-10-31,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16352,16352,unknown,unknown,Terramor
William Lyon Homes,LH-PRODUCT-TERRAMOR-WALDEN-PARK,product_level_upper_bound_only,medium,MM 853/16-20,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-12-19,12,unknown,Walden Park 2,unknown,not_reconstructed,2003-12-19,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16353,16353,unknown,unknown,Terramor
Shea Homes,LH-PRODUCT-TERRAMOR-SEDONA,product_level_upper_bound_only,medium,MM 848/19-22,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-08-18,43,unknown,Sedona 2,unknown,not_reconstructed,2003-08-18,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16354,16354,unknown,unknown,Terramor
K. Hovnanian,LH-PRODUCT-TERRAMOR-MOSAIC,product_level_upper_bound_only,medium,MM 852/1-6,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-12-18,48,unknown,Mosaic 2,unknown,not_reconstructed,2003-12-18,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16355,16355,unknown,unknown,Terramor;Wycliffe
Pulte Homes,LH-PRODUCT-TERRAMOR-CLAIBORNE,product_level_upper_bound_only,medium,MM 848/44-46,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-08-28,25,unknown,Claiborne 2,unknown,not_reconstructed,2003-08-28,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4,unknown,not_reconstructed,LH-TRACT-16356,16356,unknown,unknown,Terramor
Standard Pacific,LH-PRODUCT-COVENANT-HILLS-ALISAL,product_level_upper_bound_only,medium,MM 853/39-42,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-02-13,20,unknown,Alisal,unknown,not_reconstructed,2004-02-13,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16384,16384,unknown,unknown,Covenant Hills
Standard Pacific,LH-PRODUCT-COVENANT-HILLS-ALISAL,product_level_upper_bound_only,medium,MM 853/34-38,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-02-13,7,unknown,Alisal,unknown,not_reconstructed,2004-02-13,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16385,16385,unknown,unknown,Covenant Hills
Standard Pacific,LH-PRODUCT-COVENANT-HILLS-ALISAL,product_level_upper_bound_only,medium,MM 852/45-49,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-02-13,21,unknown,Alisal,unknown,not_reconstructed,2004-02-13,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16386,16386,unknown,unknown,Covenant Hills
Shea Homes,LH-PRODUCT-COVENANT-HILLS-SHERBORNE,product_level_upper_bound_only,medium,MM 853/47-50,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-02-04,26,unknown,Sherborne 2,unknown,not_reconstructed,2004-02-04,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16387,16387,unknown,unknown,Covenant Hills
Shea Homes,LH-PRODUCT-COVENANT-HILLS-SHERBORNE,product_level_upper_bound_only,medium,MM 854/1-5,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-01-30,29,unknown,Sherborne 1,unknown,not_reconstructed,2004-01-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16388,16388,unknown,unknown,Covenant Hills
,,unknown,medium,MM 839/24-26,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-02-06,15,unknown,Skye Isle 1 & 3,unknown,not_reconstructed,2003-02-06,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-16389,16389,unknown,unknown,Covenant Hills
K. Hovnanian,LH-PRODUCT-COVENANT-HILLS-SKYE-ISLE,product_level_upper_bound_only,medium,MM 856/30-34,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-04-23,31,unknown,Skye Isle 2,unknown,not_reconstructed,2004-04-23,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16390,16390,unknown,unknown,Covenant Hills
Warmington Homes,LH-PRODUCT-COVENANT-HILLS-ARBOLEDO,product_level_upper_bound_only,medium,MM 861/29-35,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-10-29,47,unknown,Arboledo,unknown,not_reconstructed,2004-10-29,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16391,16391,unknown,unknown,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-AMARANTE,product_level_upper_bound_only,medium,MM 859/22-27,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-07-06,40,unknown,Amarante 2,unknown,not_reconstructed,2004-07-06,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16392,16392,unknown,unknown,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-AMARANTE,product_level_upper_bound_only,medium,MM 859/17-21,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-07-19,13,unknown,Amarante 1,unknown,not_reconstructed,2004-07-19,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16393,16393,unknown,unknown,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-BELLATAIRE,product_level_upper_bound_only,medium,MM 859/33-37,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-07-06,29,unknown,Bellataire 1,unknown,not_reconstructed,2004-07-06,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16394,16394,unknown,unknown,Covenant Hills
Pardee,LH-PRODUCT-COVENANT-HILLS-ENCANTADA,product_level_upper_bound_only,medium,MM 861/36-41,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-10-28,37,unknown,Encantada,unknown,not_reconstructed,2004-10-28,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16395,16395,unknown,unknown,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-BELLATAIRE,product_level_upper_bound_only,medium,MM 859/28-32,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-07-06,24,unknown,Bellataire 2,unknown,not_reconstructed,2004-07-06,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16400,16400,unknown,unknown,Covenant Hills
,,unknown,medium,MM 838/47-50,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-02-06,15,unknown,Skye Isle 1 & 3,unknown,not_reconstructed,2003-02-06,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-16414,16414,unknown,unknown,Covenant Hills
,,unknown,recording_high_physical_lifecycle_unknown,MM 861/42-49,unknown,unknown,unknown,,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-10-28,0,unknown,,unknown,not_reconstructed,2004-10-28,physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS,unknown,not_reconstructed,LH-TRACT-16471,16471,unknown,unknown,
Pardee,LH-PRODUCT-COVENANT-HILLS-SEGOVIA,product_level_upper_bound_only,medium,MM 862/1-10,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-10-26,68,unknown,Segovia,unknown,not_reconstructed,2004-10-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16472,16472,unknown,unknown,Covenant Hills
Centex Homes,LH-PRODUCT-COVENANT-HILLS-MONTANEZ,product_level_upper_bound_only,medium,MM 862/11-20,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-10-26,60,unknown,Montanez,unknown,not_reconstructed,2004-10-26,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16473,16473,unknown,unknown,Covenant Hills
Warmington,LH-PRODUCT-COVENANT-HILLS-MERIDEN,product_level_upper_bound_only,medium,MM 856/37-41,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-04-30,36,unknown,Meriden 1,unknown,not_reconstructed,2004-04-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16504,16504,unknown,unknown,Covenant Hills
Warmington,LH-PRODUCT-COVENANT-HILLS-MERIDEN,product_level_upper_bound_only,medium,MM 856/42-46,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-04-30,32,unknown,Meriden 2,unknown,not_reconstructed,2004-04-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16505,16505,unknown,unknown,Covenant Hills
,,unknown,medium,MM 850/21-25,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-10-27,88,unknown,Castellina SUB,unknown,not_reconstructed,2003-10-27,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-16515,16515,unknown,unknown,Covenant Hills
,,unknown,medium,MM 858/29-44,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-06-10,100,unknown,CH Custom;Covenant Hills,unknown,not_reconstructed,2004-06-10,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-16586,16586,unknown,unknown,Covenant Hills
Warmington Homes,LH-PRODUCT-COVENANT-HILLS-ARBOLEDO,product_level_upper_bound_only,medium,MM 861/25-28,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2004-10-29,16,unknown,Arboledo,unknown,not_reconstructed,2004-10-29,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-16667,16667,unknown,unknown,Covenant Hills
